Customer_ID,Age,Age_Group,Gender,Subscription_Length,Payment_Method,Support_Tickets_Raised,Satisfaction_Score,Discount_Offered,Last_Activity,Monthly_Spend,Churned
CUST000001,56.0,55-64,Laki-laki,54,PayPal,0,9.0,108165.52,319,1046442.48,True
CUST000002,69.0,65-74,Perempuan,21,Debit Card,1,2.0,231999.89,166,627932.88,True
CUST000003,46.0,45-54,Perempuan,49,PayPal,3,8.0,335447.91,207,1041556.5,False
CUST000004,32.0,25-34,Laki-laki,47,Debit Card,3,1.0,225597.57,108,690102.79,True
CUST000005,60.0,55-64,Laki-laki,6,Credit Card,2,,222059.44,65,774512.33,False
CUST000006,25.0,25-34,Perempuan,48,PayPal,2,,94349.99,267,732560.28,True
CUST000007,38.0,35-44,Perempuan,49,Debit Card,2,5.0,119453.83,353,823877.59,True
CUST000008,56.0,55-64,Perempuan,3,Credit Card,0,1.0,213972.3,185,490114.5,True
CUST000009,36.0,35-44,Perempuan,10,PayPal,3,1.0,333257.64,224,531729.59,True
CUST000010,,,Perempuan,5,PayPal,2,6.0,305795.06,153,737783.23,False
CUST000011,28.0,25-34,Perempuan,46,Debit Card,2,3.0,170166.95,289,728516.71,True
CUST000012,28.0,25-34,Perempuan,26,Credit Card,1,8.0,221553.99,285,910814.37,False
CUST000013,41.0,35-44,Laki-laki,21,Debit Card,3,4.0,223912.74,186,665504.39,False
CUST000014,53.0,45-54,Perempuan,45,PayPal,5,6.0,257440.69,226,851171.7,True
CUST000015,57.0,55-64,Perempuan,26,PayPal,0,10.0,258114.62,200,1042904.36,False
CUST000016,41.0,35-44,Laki-laki,38,PayPal,0,,283892.38,11,1056045.96,False
CUST000017,20.0,15-24,Perempuan,44,PayPal,1,8.0,90474.9,325,922608.12,True
CUST000018,39.0,35-44,Perempuan,26,Credit Card,2,4.0,322811.75,277,756484.74,False
CUST000019,19.0,15-24,Laki-laki,8,Credit Card,2,10.0,101931.69,3,806860.9,False
CUST000020,41.0,35-44,Perempuan,5,Debit Card,1,,204537.3,350,786474.56,True
CUST000021,61.0,55-64,Laki-laki,15,Debit Card,5,7.0,316577.91,278,787822.42,True
CUST000022,,,Laki-laki,59,Debit Card,0,5.0,207569.98,62,939287.85,False
CUST000023,55.0,55-64,Laki-laki,16,PayPal,1,7.0,100246.86,5,731043.94,False
CUST000024,19.0,15-24,Laki-laki,1,Debit Card,2,7.0,142198.91,9,689260.37,False
CUST000025,38.0,35-44,Perempuan,16,Credit Card,2,10.0,230483.55,58,904243.57,False
CUST000026,50.0,45-54,Laki-laki,37,Debit Card,3,2.0,106480.7,280,604513.87,True
CUST000027,29.0,25-34,Laki-laki,3,Debit Card,0,7.0,191395.69,238,732728.76,False
CUST000028,,,Perempuan,52,Credit Card,2,3.0,167471.23,317,741152.87,True
CUST000029,61.0,55-64,Laki-laki,47,Credit Card,0,8.0,290294.7,127,1059921.05,False
CUST000030,42.0,35-44,Laki-laki,31,PayPal,1,8.0,112040.61,304,885205.09,True
CUST000031,66.0,65-74,Laki-laki,13,Credit Card,4,9.0,256766.76,237,828258.13,False
CUST000032,44.0,35-44,Laki-laki,56,Credit Card,6,4.0,187015.16,219,735761.44,True
CUST000033,,,Perempuan,16,Debit Card,0,10.0,232842.3,178,957315.44,False
